Ingredient,DF,Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Key,Patent_No,Patent_Expire_Date_Text,Patent_Drug_Substance_Flag,Patent_Drug_Product_Flag,Patent_Use_Code,Patent_Delist_Flag,Patent_Submission_Date,Exclusivity_Code,Exclusivity_Date
AMLODIPINE BESYLATE,TABLET,ORAL,AMLODIPINE BESYLATE,MYLAN PHARMS INC,EQ 10MG BASE,A,76418,3,AB,10/3/2005,No,No,RX,MYLAN PHARMACEUTICALS INC,76418-3,,,,,,,,,
AMLODIPINE BESYLATE,TABLET,ORAL,AMLODIPINE BESYLATE,MYLAN PHARMS INC,EQ 10MG BASE,A,78224,3,,2/27/2008,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78224-3,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 2.5MG BASE;EQ 10MG BASE,A,200465,1,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-1,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 2.5MG BASE;EQ 20MG BASE,A,200465,2,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-2,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 2.5MG BASE;EQ 40MG BASE,A,200465,3,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-3,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 5MG BASE;EQ 10MG BASE,A,200465,4,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-4,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 5MG BASE;EQ 20MG BASE,A,200465,5,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-5,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 5MG BASE;EQ 40MG BASE,A,200465,6,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-6,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 5MG BASE;EQ 80MG BASE,A,200465,7,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-7,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 10MG BASE;EQ 10MG BASE,A,200465,8,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-8,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 10MG BASE;EQ 20MG BASE,A,200465,9,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-9,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 10MG BASE;EQ 40MG BASE,A,200465,10,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-10,,,,,,,,,
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,TABLET,ORAL,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 10MG BASE;EQ 80MG BASE,A,200465,11,AB,11/29/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200465-11,,,,,,,,,
AMLODIPINE BESYLATE; VALSARTAN,TABLET,ORAL,AMLODIPINE BESYLATE AND VALSARTAN,MYLAN PHARMS INC,EQ 5MG BASE;160MG,A,90483,1,AB,3/30/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,90483-1,,,,,,,,,
AMLODIPINE BESYLATE; VALSARTAN,TABLET,ORAL,AMLODIPINE BESYLATE AND VALSARTAN,MYLAN PHARMS INC,EQ 5MG BASE;320MG,A,90483,3,AB,3/30/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,90483-3,,,,,,,,,
AMLODIPINE BESYLATE; VALSARTAN,TABLET,ORAL,AMLODIPINE BESYLATE AND VALSARTAN,MYLAN PHARMS INC,EQ 10MG BASE;160MG,A,90483,2,AB,3/30/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,90483-2,,,,,,,,,
AMLODIPINE BESYLATE; VALSARTAN,TABLET,ORAL,AMLODIPINE BESYLATE AND VALSARTAN,MYLAN PHARMS INC,EQ 10MG BASE;320MG,A,90483,4,AB,3/30/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,90483-4,,,,,,,,,
OXYMETHOLONE,TABLET,ORAL,ANADROL-50,MYLAN SPECIALITY LP,50MG,N,16848,1,,,Yes,Yes,RX,MYLAN SPECIALTY LP,16848-1,,,,,,,,,
ANASTROZOLE,TABLET,ORAL,ANASTROZOLE,MYLAN,1MG,A,91051,1,AB,6/28/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,91051-1,,,,,,,,,
ARMODAFINIL,TABLET,ORAL,ARMODAFINIL,MYLAN PHARMS INC,50MG,A,200043,1,AB,6/1/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,200043-1,,,,,,,,,
ARMODAFINIL,TABLET,ORAL,ARMODAFINIL,MYLAN PHARMS INC,150MG,A,200043,2,AB,6/1/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,200043-2,,,,,,,,,
ARMODAFINIL,TABLET,ORAL,ARMODAFINIL,MYLAN PHARMS INC,250MG,A,200043,3,AB,6/1/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,200043-3,,,,,,,,,
ATENOLOL,TABLET,ORAL,ATENOLOL,MYLAN,25MG,A,73457,2,AB,4/26/1999,No,No,RX,MYLAN PHARMACEUTICALS INC,73457-2,,,,,,,,,
ATENOLOL,TABLET,ORAL,ATENOLOL,MYLAN,25MG,A,74126,3,,8/26/1998,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74126-3,,,,,,,,,
ATENOLOL,TABLET,ORAL,ATENOLOL,MYLAN,50MG,A,73457,3,AB,1/24/1992,No,No,RX,MYLAN PHARMACEUTICALS INC,73457-3,,,,,,,,,
ATENOLOL,TABLET,ORAL,ATENOLOL,MYLAN,50MG,A,74126,1,,3/23/1994,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74126-1,,,,,,,,,
ATENOLOL,TABLET,ORAL,ATENOLOL,MYLAN,100MG,A,73457,1,AB,1/24/1992,No,No,RX,MYLAN PHARMACEUTICALS INC,73457-1,,,,,,,,,
ATENOLOL,TABLET,ORAL,ATENOLOL,MYLAN,100MG,A,74126,2,,3/23/1994,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74126-2,,,,,,,,,
ATENOLOL; CHLORTHALIDONE,TABLET,ORAL,ATENOLOL AND CHLORTHALIDONE,MYLAN,50MG;25MG,A,74203,1,AB,10/31/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74203-1,,,,,,,,,
ATENOLOL; CHLORTHALIDONE,TABLET,ORAL,ATENOLOL AND CHLORTHALIDONE,MYLAN,100MG;25MG,A,74203,2,AB,10/31/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74203-2,,,,,,,,,
ATORVASTATIN CALCIUM,TABLET,ORAL,ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 10MG BASE,A,91226,1,AB,5/29/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,91226-1,,,,,,,,,
ATORVASTATIN CALCIUM,TABLET,ORAL,ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 20MG BASE,A,91226,2,AB,5/29/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,91226-2,,,,,,,,,
ATORVASTATIN CALCIUM,TABLET,ORAL,ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 40MG BASE,A,91226,3,AB,5/29/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,91226-3,,,,,,,,,
ATORVASTATIN CALCIUM,TABLET,ORAL,ATORVASTATIN CALCIUM,MYLAN PHARMS INC,EQ 80MG BASE,A,91226,4,AB,5/29/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,91226-4,,,,,,,,,
ATOVAQUONE; PROGUANIL HYDROCHLORIDE,TABLET,ORAL,ATOVAQUONE AND PROGUANIL HYDROCHLORIDE,MYLAN PHARMS INC,62.5MG;25MG,A,202362,1,AB,5/27/2014,No,No,RX,MYLAN PHARMACEUTICALS INC,202362-1,,,,,,,,,
ATOVAQUONE; PROGUANIL HYDROCHLORIDE,TABLET,ORAL,ATOVAQUONE AND PROGUANIL HYDROCHLORIDE,MYLAN PHARMS INC,250MG;100MG,A,202362,2,AB,5/27/2014,No,No,RX,MYLAN PHARMACEUTICALS INC,202362-2,,,,,,,,,
AZATHIOPRINE,TABLET,ORAL,AZATHIOPRINE,MYLAN,50MG,A,75568,1,AB,12/13/1999,No,No,RX,MYLAN PHARMACEUTICALS INC,75568-1,,,,,,,,,
AZITHROMYCIN,TABLET,ORAL,AZITHROMYCIN,MYLAN,EQ 250MG BASE,A,65365,1,,5/30/2007,No,No,DISCN,MYLAN PHARMACEUTICALS INC,65365-1,,,,,,,,,
AZITHROMYCIN,TABLET,ORAL,AZITHROMYCIN,MYLAN,EQ 500MG BASE,A,65366,1,,5/30/2007,No,No,DISCN,MYLAN PHARMACEUTICALS INC,65366-1,,,,,,,,,
AZITHROMYCIN,TABLET,ORAL,AZITHROMYCIN,MYLAN,EQ 600MG BASE,A,65360,1,AB,1/8/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,65360-1,,,,,,,,,
BACLOFEN,TABLET,ORAL,BACLOFEN,MYLAN,10MG,A,77181,1,,7/29/2005,No,No,DISCN,MYLAN PHARMACEUTICALS INC,77181-1,,,,,,,,,
BACLOFEN,TABLET,ORAL,BACLOFEN,MYLAN,20MG,A,77121,2,AB,7/29/2005,No,No,RX,MYLAN PHARMACEUTICALS INC,77121-2,,,,,,,,,
BACLOFEN,TABLET,ORAL,BACLOFEN,MYLAN PHARMS INC,10MG,A,90334,1,AB,2/18/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,90334-1,,,,,,,,,
BACLOFEN,TABLET,ORAL,BACLOFEN,MYLAN PHARMS INC,20MG,A,90334,2,AB,2/18/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,90334-2,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE,MYLAN,5MG,A,76430,1,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76430-1,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE,MYLAN,10MG,A,76430,2,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76430-2,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE,MYLAN,20MG,A,76430,3,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76430-3,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE,MYLAN,40MG,A,76430,4,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76430-4,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN,5MG;6.25MG,A,76688,1,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76688-1,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN,10MG;12.5MG,A,76688,2,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76688-2,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN,20MG;12.5MG,A,76688,3,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76688-3,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN,20MG;25MG,A,76688,4,AB,2/11/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76688-4,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,5MG;6.25MG,A,76612,1,,2/11/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76612-1,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,10MG;12.5MG,A,76612,2,,2/11/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76612-2,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,20MG;12.5MG,A,76612,3,,2/11/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76612-3,,,,,,,,,
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,20MG;25MG,A,76612,4,,2/11/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76612-4,,,,,,,,,
BICALUTAMIDE,TABLET,ORAL,BICALUTAMIDE,MYLAN,50MG,A,79185,1,AB,7/6/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,79185-1,,,,,,,,,
BISOPROLOL FUMARATE,TABLET,ORAL,BISOPROLOL FUMARATE,MYLAN,5MG,A,75831,1,AB,12/14/2005,No,No,RX,MYLAN PHARMACEUTICALS INC,75831-1,,,,,,,,,
BISOPROLOL FUMARATE,TABLET,ORAL,BISOPROLOL FUMARATE,MYLAN,10MG,A,75831,2,AB,12/14/2005,No,Yes,RX,MYLAN PHARMACEUTICALS INC,75831-2,,,,,,,,,
BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,MYLAN,2.5MG;6.25MG,A,75768,1,AB,9/25/2000,No,No,RX,MYLAN PHARMACEUTICALS INC,75768-1,,,,,,,,,
BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,MYLAN,5MG;6.25MG,A,75768,2,AB,9/25/2000,No,No,RX,MYLAN PHARMACEUTICALS INC,75768-2,,,,,,,,,
BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE,TABLET,ORAL,BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,MYLAN,10MG;6.25MG,A,75768,3,AB,9/25/2000,No,No,RX,MYLAN PHARMACEUTICALS INC,75768-3,,,,,,,,,
BROMOCRIPTINE MESYLATE,TABLET,ORAL,BROMOCRIPTINE MESYLATE,MYLAN,EQ 2.5MG BASE,A,76962,1,AB,9/24/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76962-1,,,,,,,,,
BUPROPION HYDROCHLORIDE,TABLET,ORAL,BUPROPION HYDROCHLORIDE,MYLAN,75MG,A,75491,1,AB,4/17/2000,No,No,RX,MYLAN PHARMACEUTICALS INC,75491-1,,,,,,,,,
BUPROPION HYDROCHLORIDE,TABLET,ORAL,BUPROPION HYDROCHLORIDE,MYLAN,100MG,A,75491,2,AB,4/17/2000,No,No,RX,MYLAN PHARMACEUTICALS INC,75491-2,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,5MG,A,75467,1,,2/28/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75467-1,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,5MG,A,76008,3,AB,3/1/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,76008-3,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,7.5MG,A,75467,2,AB,3/28/2001,No,No,RX,MYLAN PHARMACEUTICALS INC,75467-2,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,7.5MG,A,76008,2,AB,7/8/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,76008-2,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,10MG,A,75467,3,,2/28/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75467-3,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,10MG,A,76008,4,AB,3/1/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,76008-4,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,15MG,A,75467,4,,2/28/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75467-4,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,15MG,A,76008,5,AB,3/28/2001,No,No,RX,MYLAN PHARMACEUTICALS INC,76008-5,,,,,,,,,
BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,BUSPIRONE HYDROCHLORIDE,MYLAN,30MG,A,76008,1,AB,6/28/2001,No,No,RX,MYLAN PHARMACEUTICALS INC,76008-1,,,,,,,,,
BUTABARBITAL SODIUM,TABLET,ORAL,BUTISOL SODIUM,MYLAN SPECIALITY LP,15MG,N,793,2,,,No,No,DISCN,MYLAN SPECIALTY LP,793-2,,,,,,,,,
BUTABARBITAL SODIUM,TABLET,ORAL,BUTISOL SODIUM,MYLAN SPECIALITY LP,30MG,N,793,4,,,Yes,Yes,RX,MYLAN SPECIALTY LP,793-4,,,,,,,,,
BUTABARBITAL SODIUM,TABLET,ORAL,BUTISOL SODIUM,MYLAN SPECIALITY LP,50MG,N,793,3,,,No,No,DISCN,MYLAN SPECIALTY LP,793-3,,,,,,,,,
BUTABARBITAL SODIUM,TABLET,ORAL,BUTISOL SODIUM,MYLAN SPECIALITY LP,100MG,N,793,5,,,No,No,DISCN,MYLAN SPECIALTY LP,793-5,,,,,,,,,
CABERGOLINE,TABLET,ORAL,CABERGOLINE,MYLAN PHARMS INC,0.5MG,A,202947,1,AB,12/2/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,202947-1,,,,,,,,,
CANDESARTAN CILEXETIL,TABLET,ORAL,CANDESARTAN CILEXETIL,MYLAN PHARMS INC,4MG,A,78702,1,AB,5/3/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,78702-1,,,,,,,,,
CANDESARTAN CILEXETIL,TABLET,ORAL,CANDESARTAN CILEXETIL,MYLAN PHARMS INC,8MG,A,78702,2,AB,5/3/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,78702-2,,,,,,,,,
CANDESARTAN CILEXETIL,TABLET,ORAL,CANDESARTAN CILEXETIL,MYLAN PHARMS INC,16MG,A,78702,3,AB,5/3/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,78702-3,,,,,,,,,
CANDESARTAN CILEXETIL,TABLET,ORAL,CANDESARTAN CILEXETIL,MYLAN PHARMS INC,32MG,A,78702,4,AB,5/3/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,78702-4,,,,,,,,,
CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,16MG;12.5MG,A,90704,1,AB,12/4/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,90704-1,,,,,,,,,
CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,32MG;12.5MG,A,90704,2,AB,12/4/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,90704-2,,,,,,,,,
CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,32MG;25MG,A,90704,3,AB,12/4/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,90704-3,,,,,,,,,
CAPECITABINE,TABLET,ORAL,CAPECITABINE,MYLAN PHARMS INC,150MG,A,90943,1,AB,8/8/2014,No,No,RX,MYLAN PHARMACEUTICALS INC,90943-1,,,,,,,,,
CAPECITABINE,TABLET,ORAL,CAPECITABINE,MYLAN PHARMS INC,500MG,A,90943,2,AB,8/8/2014,No,No,RX,MYLAN PHARMACEUTICALS INC,90943-2,,,,,,,,,
CAPTOPRIL,TABLET,ORAL,CAPTOPRIL,MYLAN PHARMS INC,12.5MG,A,74434,1,AB,2/13/1996,No,No,RX,MYLAN PHARMACEUTICALS INC,74434-1,,,,,,,,,
CAPTOPRIL,TABLET,ORAL,CAPTOPRIL,MYLAN PHARMS INC,25MG,A,74434,2,AB,2/13/1996,No,No,RX,MYLAN PHARMACEUTICALS INC,74434-2,,,,,,,,,
CAPTOPRIL,TABLET,ORAL,CAPTOPRIL,MYLAN PHARMS INC,50MG,A,74434,3,AB,2/13/1996,No,No,RX,MYLAN PHARMACEUTICALS INC,74434-3,,,,,,,,,
CAPTOPRIL,TABLET,ORAL,CAPTOPRIL,MYLAN PHARMS INC,100MG,A,74434,4,AB,2/13/1996,No,Yes,RX,MYLAN PHARMACEUTICALS INC,74434-4,,,,,,,,,
CAPTOPRIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,MYLAN,25MG;15MG,A,74896,1,,12/29/1997,No,No,RX,MYLAN PHARMACEUTICALS INC,74896-1,,,,,,,,,
CAPTOPRIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,MYLAN,25MG;25MG,A,74896,2,,12/29/1997,No,Yes,RX,MYLAN PHARMACEUTICALS INC,74896-2,,,,,,,,,
CAPTOPRIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,MYLAN,50MG;15MG,A,74896,4,,12/29/1997,No,Yes,RX,MYLAN PHARMACEUTICALS INC,74896-4,,,,,,,,,
CAPTOPRIL; HYDROCHLOROTHIAZIDE,TABLET,ORAL,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,MYLAN,50MG;25MG,A,74896,3,,12/29/1997,No,No,RX,MYLAN PHARMACEUTICALS INC,74896-3,,,,,,,,,
CARBIDOPA; LEVODOPA,TABLET,ORAL,CARBIDOPA AND LEVODOPA,MYLAN,10MG;100MG,A,90324,1,AB,9/28/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,90324-1,,,,,,,,,
CARBIDOPA; LEVODOPA,TABLET,ORAL,CARBIDOPA AND LEVODOPA,MYLAN,25MG;100MG,A,90324,2,AB,9/28/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,90324-2,,,,,,,,,
CARBIDOPA; LEVODOPA,TABLET,ORAL,CARBIDOPA AND LEVODOPA,MYLAN,25MG;250MG,A,90324,3,AB,9/28/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,90324-3,,,,,,,,,
CARVEDILOL,TABLET,ORAL,CARVEDILOL,MYLAN,3.125MG,A,77316,1,AB,9/5/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,77316-1,,,,,,,,,
CARVEDILOL,TABLET,ORAL,CARVEDILOL,MYLAN,6.25MG,A,77316,2,AB,9/5/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,77316-2,,,,,,,,,
CARVEDILOL,TABLET,ORAL,CARVEDILOL,MYLAN,12.5MG,A,77316,3,AB,9/5/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,77316-3,,,,,,,,,
CARVEDILOL,TABLET,ORAL,CARVEDILOL,MYLAN,25MG,A,77316,4,AB,9/5/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,77316-4,,,,,,,,,
CETIRIZINE HYDROCHLORIDE,TABLET,ORAL,CETIRIZINE HYDROCHLORIDE ALLERGY,MYLAN,5MG,A,76677,1,,12/27/2007,No,No,OTC,MYLAN PHARMACEUTICALS INC,76677-1,,,,,,,,,
CETIRIZINE HYDROCHLORIDE,TABLET,ORAL,CETIRIZINE HYDROCHLORIDE ALLERGY,MYLAN,10MG,A,76677,2,,12/27/2007,No,No,OTC,MYLAN PHARMACEUTICALS INC,76677-2,,,,,,,,,
CETIRIZINE HYDROCHLORIDE,TABLET,ORAL,CETIRIZINE HYDROCHLORIDE HIVES,MYLAN,5MG,A,76677,4,,12/27/2007,No,No,OTC,MYLAN PHARMACEUTICALS INC,76677-4,,,,,,,,,
CETIRIZINE HYDROCHLORIDE,TABLET,ORAL,CETIRIZINE HYDROCHLORIDE HIVES,MYLAN,10MG,A,76677,3,,12/27/2007,No,No,OTC,MYLAN PHARMACEUTICALS INC,76677-3,,,,,,,,,
FEXOFENADINE HYDROCHLORIDE,TABLET,ORAL,CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGY,MYLAN,30MG,A,77081,4,,7/21/2011,No,No,OTC,MYLAN PHARMACEUTICALS INC,77081-4,,,,,,,,,
FEXOFENADINE HYDROCHLORIDE,TABLET,ORAL,CHILDREN'S FEXOFENADINE HYDROCHLORIDE HIVES,MYLAN,30MG,A,77081,5,,7/21/2011,No,No,OTC,MYLAN PHARMACEUTICALS INC,77081-5,,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,TABLET,ORAL,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 12.5MG BASE;5MG,A,71297,2,,12/10/1986,No,No,RX,MYLAN PHARMACEUTICALS INC,71297-2,,,,,,,,,
